Name,Direction.PXD023778,FDR.PXD023778,PValue.PXD023778,NGenes.PXD023778,MeanAbsT0.PXD023778,MeanWeightT0.PXD023778,av_foldchange.PXD023778,sig.PXD023778,Direction.PXD008934,FDR.PXD008934,PValue.PXD008934,NGenes.PXD008934,MeanAbsT0.PXD008934,MeanWeightT0.PXD008934,av_foldchange.PXD008934,sig.PXD008934
Glycogen breakdown (glycogenolysis),Up,0.004333694,1.08342E-05,4,4.017705844,4.378484271,0.348974029,TRUE,Down,0.26,0.192,5,0.484894642,0.385630941,-0.257157195,FALSE
Glucuronidation,Up,0.003250271,0.001083424,1,3.156648108,3.381570248,0.382208973,TRUE,Down,0.665,0.597,1,-0.721915396,-0.665089384,-0.149766609,FALSE
"Formation of the active cofactor, UDP-glucuronate",Up,0.003250271,0.001083424,1,3.156648108,3.381570248,0.382208973,TRUE,Down,0.665,0.597,1,-0.721915396,-0.665089384,-0.149766609,FALSE
Signal transduction by L1,Up,0.001083424,0.001083424,2,4.507099112,4.53213236,0.479722776,TRUE,Up,0.356,0.291,1,0.236875293,0.180407101,0.697220665,FALSE
Cell-extracellular matrix interactions,Up,0.001083424,0.001083424,9,2.560725664,2.703238754,0.170169513,TRUE,Up,0.601,0.521,8,-0.34829067,-0.277492359,0.2852639,FALSE
Cell-Cell communication,Up,0.001083424,0.003250271,20,3.468643942,3.8161718,0.110939248,TRUE,Up,0.457,0.364,17,0.057013049,0.162579286,0.235649429,FALSE
Cell junction organization,Up,0.003250271,0.003250271,15,3.210118003,3.48299613,0.091855921,TRUE,Up,0.777,0.717,12,-1.015023667,-0.905754527,0.182773775,FALSE
Interferon gamma signaling,Up,0.013001083,0.008667389,3,1.986365918,2.078182883,0.22564526,FALSE,,,,,,,,
Norepinephrine Neurotransmitter Release Cycle,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.511,0.438,1,-0.198683115,-0.153099977,-0.341901734,FALSE
Enzymatic degradation of dopamine by COMT,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.511,0.438,1,-0.198683115,-0.153099977,-0.341901734,FALSE
Enzymatic degradation of Dopamine by monoamine oxidase,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.511,0.438,1,-0.198683115,-0.153099977,-0.341901734,FALSE
Dopamine clearance from the synaptic cleft,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.511,0.438,1,-0.198683115,-0.153099977,-0.341901734,FALSE
Defective MAOA causes BRUNS,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.511,0.438,1,-0.198683115,-0.153099977,-0.341901734,FALSE
Metabolic disorders of biological oxidation enzymes,Up,0.007583965,0.009750813,1,3.359491124,3.46983835,0.379829187,TRUE,Down,0.745,0.687,2,-0.942945113,-0.879578834,-0.181885142,FALSE
Meiotic synapsis,Up,0.048754063,0.01191766,3,0.855948936,0.972545709,0.123928872,FALSE,Up,0.019,0.014,2,3.127855414,3.250153307,1.372985739,FALSE
OAS antiviral response,Up,0.020585049,0.01191766,1,3.011614674,3.153910428,0.378245942,FALSE,Up,0.486,0.393,1,-0.20101068,-0.146312031,0.144962143,FALSE
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Up,0.019501625,0.015167931,4,3.506061585,3.441485901,0.383875661,FALSE,Up,0.229,0.182,2,0.608241049,0.595032533,0.485379164,FALSE
Inflammasomes,Up,0.018418202,0.016251354,2,2.160867934,2.116506516,0.001685345,FALSE,Down,0.665,0.611,2,-0.702834014,-0.67080467,-0.255587297,FALSE
The NLRP3 inflammasome,Up,0.018418202,0.016251354,2,2.160867934,2.116506516,0.001685345,FALSE,Down,0.665,0.611,2,-0.702834014,-0.67080467,-0.255587297,FALSE
Trafficking and processing of endosomal TLR,Up,0.013001083,0.017334778,1,2.079374605,2.188182733,0.249138792,FALSE,Down,0.725,0.645,1,-0.923262841,-0.877792533,-0.039167001,FALSE
Aryl hydrocarbon receptor signalling,Up,0.016251354,0.018418202,1,2.013240233,1.906907846,0.230525831,FALSE,Down,0.586,0.497,1,-0.570798124,-0.56321777,-0.091032296,FALSE
Purinergic signaling in leishmaniasis infection,Down,0.020585049,0.018418202,3,2.372716555,2.366511827,-0.135488704,FALSE,Down,0.49,0.392,3,-0.213994846,-0.166025779,-0.079212311,FALSE
Cell recruitment (pro-inflammatory response),Down,0.020585049,0.018418202,3,2.372716555,2.366511827,-0.135488704,FALSE,Down,0.49,0.392,3,-0.213994846,-0.166025779,-0.079212311,FALSE
Apoptosis induced DNA fragmentation,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
Regulation of cholesterol biosynthesis by SREBP (SREBF),Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.564,0.461,2,-0.299549956,-0.269087987,0.255993523,FALSE
Immune System,Up,0.046587216,0.020585049,112,1.438849491,1.560613042,0.098995157,FALSE,Down,0.046,0.043,136,1.305180446,1.107014891,-0.08185063,FALSE
Transport of Ribonucleoproteins into the Host Nucleus,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
NS1 Mediated Effects on Host Pathways,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
Interferon alpha/beta signaling,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
Postmitotic nuclear pore complex (NPC) reformation,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.564,0.461,2,-0.299549956,-0.269087987,0.255993523,FALSE
Inhibition of nitric oxide production,Up,0.016251354,0.020585049,1,2.212886341,2.154842239,0.200434891,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
HSF1-dependent transactivation,Up,0.024918743,0.02383532,8,2.203660309,2.346210053,0.155862454,FALSE,Up,0.018,0.013,4,2.030268419,2.145447609,0.415873769,FALSE
Glycogen metabolism,Up,0.013001083,0.02383532,11,2.031506745,2.191606149,0.203605089,FALSE,Down,0.5,0.604,12,-0.679186375,-0.874987561,-0.091829385,FALSE
Adherens junctions interactions,Down,0.026002167,0.026002167,7,1.86618666,2.070044728,-0.056091723,FALSE,Down,0.839,0.805,6,-1.309610956,-1.27228831,-0.143870671,FALSE
Cell-cell junction organization,Down,0.026002167,0.026002167,7,1.86618666,2.070044728,-0.056091723,FALSE,Down,0.839,0.805,6,-1.309610956,-1.27228831,-0.143870671,FALSE
Attenuation phase,Up,0.022751896,0.029252438,4,2.911601668,3.013686672,0.32556135,FALSE,Up,0.017,0.01,3,2.169796334,2.246218582,0.617887429,FALSE
Other semaphorin interactions,Up,0.024918743,0.029252438,1,2.120556639,1.966943133,0.245374658,FALSE,Up,0.356,0.291,1,0.236875293,0.180407101,0.697220665,FALSE
