,Prosser_1383_Control.txt,Prosser_1195_Disease.txt,Prosser_1427_Disease.txt,Prosser_1136_Disease.txt,Prosser_1325_Control.txt,Prosser_1467_Disease.txt,Prosser_1119_Disease.txt,Prosser_1085_Control.txt,Prosser_1198_Disease.txt,Prosser_1228_Disease.txt,Prosser_1288_Disease.txt,Prosser_1146_Disease.txt,Prosser_1425_Disease.txt,Prosser_1200_Control.txt,Prosser_1605_Disease.txt,Prosser_1273_Control.txt,Prosser_1311_Disease.txt,Prosser_1510_Disease.txt,Prosser_1375_Disease.txt,Prosser_1205_Disease.txt,Prosser_1366_Disease.txt,Prosser_1290_Disease.txt,Prosser_1462_Disease.txt,Prosser_1535_Disease.txt,Prosser_1339_Control.txt,Prosser_1004_Disease.txt,Prosser_1602_Disease.txt,Prosser_1356_Control.txt,Prosser_1320_Disease.txt,Prosser_1209_Disease.txt,Prosser_1379_Disease.txt,Prosser_1304_Disease.txt,Prosser_1472_Disease.txt,Prosser_1086_Disease.txt
P05413,45,44,50,53,56,51,61,66,51,50,59,60,48,46,55,56,52,59,53,49,71,59,47,61,55,51,59,58,42,49,55,45,50,52
P56385,23,10,16,13,13,7,14,18,9,16,10,9,12,12,11,21,19,17,15,10,27,11,12,15,12,24,18,26,,16,14,11,17,17
P09493,28,35,28,31,32,31,35,32,23,19,35,33,32,40,26,39,34,32,29,37,47,24,22,27,34,35,23,35,26,27,30,28,19,31
P07951,21,24,16,27,24,22,28,22,15,16,26,25,22,28,18,26,19,19,17,23,34,19,18,18,24,33,17,25,21,19,20,20,14,22
P68871,32,52,41,14,17,35,27,15,78,33,29,13,26,11,26,21,41,28,61,17,9,45,39,32,9,50,38,27,89,40,29,31,47,33
P63316,11,8,9,9,9,6,8,10,8,4,9,9,8,10,5,10,9,7,9,4,10,7,8,5,9,6,6,9,9,10,10,6,6,9
O75964,7,6,10,9,11,13,9,9,7,9,9,11,13,9,9,10,12,14,10,8,7,10,8,9,10,8,8,8,7,11,9,11,13,7
O14737,3,3,4,5,3,4,5,3,4,5,4,5,4,5,2,4,3,5,2,4,5,3,4,3,,,4,3,,6,4,5,4,4
Q96Q06,24,12,13,11,18,19,14,19,11,14,16,22,14,18,14,16,16,17,12,13,10,17,19,16,23,33,21,21,14,26,20,18,21,13
P14927,8,4,5,6,5,8,4,5,4,7,7,4,6,6,4,7,5,7,5,4,3,6,5,5,6,4,6,4,4,5,8,5,6,6
P09972,21,11,12,21,12,9,14,13,13,9,10,14,10,18,13,21,14,8,13,19,16,9,20,12,10,13,9,20,6,13,8,9,9,12
P04080,7,11,8,11,5,4,9,3,8,6,7,11,6,11,4,11,10,5,8,8,9,6,11,5,7,10,4,9,5,12,7,5,5,10
P62258,14,22,16,17,16,22,18,13,17,17,20,20,23,14,12,20,22,24,17,20,21,20,17,19,17,16,22,23,14,17,24,19,21,17
O75947,12,12,12,16,7,12,13,11,10,9,10,12,8,11,8,13,16,8,10,12,12,11,13,8,9,10,7,11,5,11,13,11,8,8
