accession,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,norm int m/z_126.127725_2,norm int m/z_127.12476_2,norm int m/z_128.134433_2,norm int m/z_129.131468_2,norm int m/z_130.141141_2,norm int m/z_131.138176_2
P05413,21.707530344885903,21.84463187091713,21.483896205255135,22.18558384617447,21.753813033550472,21.795066296298394,21.82754446573677,21.975741378028093,21.545391174119068,22.36431058348266,21.867102826161034,21.904687168991885
Q99623,20.025080150047867,20.121633147395485,20.086951979335144,20.10282208498089,20.147055481301066,20.066549395604202,19.96476153891783,19.993693583949597,19.97632692232364,20.087602259432348,20.083529461879372,20.06577825667687
P04792,19.518295579977007,19.847542403300356,19.70442836250306,19.812520364288368,19.751481475264132,19.893137922398278,19.76499553462883,20.185595895586243,20.021808107427717,20.182163870048875,20.084169073049708,20.278699961078463
P99999,19.78366091881854,20.07065622027704,19.66020167203199,19.968243265011754,20.130077809891336,19.769371368610546,19.919096819129926,20.1506856553389,19.797287094613,20.26365948466321,20.39159620740355,19.98961416612827
P07951,19.262036446722863,19.442948455266347,19.280225574808135,19.175795124707236,19.00551024432685,19.054925403964038,19.364868946665403,19.513622070502652,19.34398071744988,19.284718161970456,19.09644132935956,19.19342898543063
O43678,18.94453620814402,18.94710967011532,18.95404362609632,18.69998158946285,18.762737257072622,18.787913715652742,18.95546488237453,18.99336467078179,18.994147891214094,18.74898488245845,18.821189138546046,18.815726640592363
P58876,18.948073161694168,18.972786595099457,19.00132654565956,18.68888681253722,18.953792052360516,19.01994901220385,19.825578701729736,19.69776883862365,19.805035006834256,19.41833030212837,19.80777626715633,19.788292499217416
P17661,19.551110456487795,19.809858482695216,19.54230230339818,20.10280723561991,20.11664057018925,20.014334178120865,19.75907346674743,19.97190922751885,19.719527329275063,20.275696882629376,20.29269539871751,20.198758222881413
P61604,19.880806648269694,19.728778603768568,19.391684817741705,20.000590123748424,20.32234225771201,19.990298354294282,19.57978891284976,19.448531164997704,18.963529129151773,19.733610025381335,20.022165949484023,19.64724584881551
P26678,19.476881647979233,19.163139833559526,19.1923084686289,19.37791268181286,19.60043200162146,19.259338699287795,19.424403646405278,19.149788045950498,19.160511595538683,19.320633654471646,19.5328124791722,19.315907438923542
