accession,spec count,peptide num,avg int m/z_126.127725,avg int m/z_127.12476,avg int m/z_128.134433,avg int m/z_129.131468,avg int m/z_130.141141,avg int m/z_131.138176,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,description
P05413,11,11,3836831.55,3996021.27,2947673.18,5781597.09,3627293.55,3996855,3721736.45,4124367.27,3060617.18,5399186.36,3825197.55,3926159,"Fatty acid-binding protein, heart OS=Homo sapiens OX=9606 GN=FABP3 PE=1 SV=4"
Q99623,18,18,1054919.56,1011514.44,993445.5,1193137.39,1053595.11,1117253.67,1023274.33,1044002.39,1031510.39,1114219.67,1111078.61,1097491.44,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2
P04792,13,13,918509.85,1155421.38,1025263,1273961.69,1054062.54,1294933.77,890956.54,1192531.46,1064546.92,1189697.92,1111571.31,1272028.85,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2
P07951,20,20,696039.35,725197.4,640898.15,683909.15,531533.7,610307.35,675159.55,748489.25,665454.6,638673.1,560533.6,599511.95,Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1
contaminant_UBIQUITIN08,5,5,687374.2,837315,589057.2,791516,756423.4,681592,666754.4,864207.8,611627.2,739162.6,797693,669535.6,no description
P62987,5,5,687374.2,837315,589057.2,791516,756423.4,681592,666754.4,864207.8,611627.2,739162.6,797693,669535.6,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2
P62979,5,5,687374.2,837315,589057.2,791516,756423.4,681592,666754.4,864207.8,611627.2,739162.6,797693,669535.6,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2
P0CG48,5,5,687374.2,837315,589057.2,791516,756423.4,681592,666754.4,864207.8,611627.2,739162.6,797693,669535.6,Polyubiquitin-C OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=3
P0CG47,5,5,687374.2,837315,589057.2,791516,756423.4,681592,666754.4,864207.8,611627.2,739162.6,797693,669535.6,Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1
Q99880,10,10,953274.5,820201.6,878887.6,749061.1,869170.5,918149.8,924678.2,846544.9,912563,699515.6,916591.9,901909.2,Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3
Q8N257,10,10,883260.1,761373.6,814017.4,690276.2,805837.7,851797.2,856764,785827.4,845207.2,644618.8,849803.7,836730.3,Histone H2B type 3-B OS=Homo sapiens OX=9606 GN=H2BU1 PE=1 SV=3
O60814,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3
